candidate_k,n,pass_rate,passed_questions,mean_behavior_score,mean_answer_correctness,mean_faithfulness,faithfulness_count,mean_overall_score,page_hit_rate_final_3,mean_page_recall_final_3,all_pages_rate_final_3,all_pages_count_final_3,mean_mrr_final_3,mean_unique_pages_final_3,mean_context_overlap_pairs,mean_context_tokens,median_context_tokens,mean_retrieval_seconds,median_retrieval_seconds,mean_rerank_seconds,median_rerank_seconds,mean_generation_seconds,median_generation_seconds,mean_total_seconds,median_total_seconds,safety_violation_rate
10,140,0.9857142857142858,138,0.9985714285714287,0.9907142857142857,0.9982142857142857,140,4.95,1.0,0.9553571428571429,0.9,126.0,0.9357142857142857,2.8857142857142857,0.06428571428571428,1141.7482142857143,1165.5,0.39625994405726034,0.3897330724998937,0.37168702185002916,0.37270815200008656,23.08130295162146,16.68930401749958,27.77668991316426,20.750265276500613,0.0
20,140,0.9714285714285714,136,0.9978571428571428,0.9892857142857143,0.9914285714285715,140,4.9071428571428575,0.9928571428571429,0.9476190476190476,0.9,126.0,0.9273809523809524,2.907142857142857,0.05,1148.5267857142858,1158.125,0.613642270749993,0.6067068170000312,0.5894075257857269,0.5895882474997052,19.338084165464334,15.607294287000059,24.694900576285722,20.67189100550013,0.007142857142857143
30,140,0.9714285714285714,136,0.9985714285714287,0.987857142857143,0.9971428571428571,140,4.9,0.9928571428571429,0.9476190476190476,0.9,126.0,0.9261904761904761,2.8857142857142857,0.04285714285714286,1148.7714285714285,1159.625,1.0032402166214638,1.007843076500194,0.978102928535707,0.9894557489997169,18.674111550614295,14.40085425399991,22.918273655385693,17.405086891500332,0.007142857142857143
40,140,0.9642857142857143,135,0.9921428571428572,0.9839285714285714,0.9914285714285715,140,4.878571428571429,0.9928571428571429,0.9476190476190476,0.9,126.0,0.919047619047619,2.9,0.03571428571428571,1161.5553571428572,1157.625,1.2368216969926769,1.2469273554984284,1.217007195364262,1.2268749835002382,16.921012308757124,12.194819379999899,18.695202411628582,13.60041387199999,0.007142857142857143
