metric,n,mean_difference_f5_minus_f3,ci_2_5,ci_97_5
pass_bool,140,0.007142857142857143,-0.02142857142857143,0.03571428571428571
answer_correctness,140,0.007857142857142858,-0.010017857142857129,0.02857142857142857
faithfulness,139,-0.008633093525179856,-0.01654676258992806,-0.0021582733812949635
overall_score,140,0.02142857142857143,-0.06428571428571428,0.12142857142857143
page_recall_at_final_k,140,0.02380952380952381,0.008928571428571428,0.042261904761904764
all_pages_at_final_k,140,0.05714285714285714,0.02142857142857143,0.1
estimated_context_tokens,140,724.0071428571429,692.8083482142857,753.8164732142857
context_overlap_pairs,140,0.1357142857142857,0.05714285714285714,0.2357142857142857
