strategy,n_chunks,mean_chunk_tokens,median_chunk_tokens,p95_chunk_tokens,embeddings_mb,chunks_file_mb,total_artifact_mb,build_seconds
sentence_15_no_overlap,1212,276.644595709571,275.25,530.3625,1.7755126953125,2.8469295501708984,4.622442245483398,
word_280_overlap_60,1309,289.3857906799083,313.75,469.65,1.9176025390625,3.199024200439453,5.116626739501953,
word_180_overlap_40,1800,221.42888888888888,263.5,314.0,2.6368408203125,3.4616775512695312,6.098518371582031,
sentence_10_overlap_5,2684,200.04508196721312,202.375,382.25,3.9317626953125,4.725943565368652,8.657706260681152,
sentence_8_overlap_4,3258,171.10589318600367,173.125,318.75,4.7725830078125,5.010350227355957,9.782933235168457,
sentence_6_overlap_3,4192,137.9799021946565,139.75,255.25,6.1407470703125,5.381268501281738,11.522015571594238,
