strategy,retriever,n_questions,page_hit_at_1,page_hit_at_3,page_hit_at_5,page_recall_at_20,all_pages_at_20,mrr_at_3,mrr_at_40,mean_unique_pages_at_3,mean_same_page_redundancy_at_3,mean_overlap_pairs_at_3,mean_pairwise_overlap_at_3,mean_context_tokens_at_3,mean_retrieval_seconds,median_retrieval_seconds,n_chunks,total_artifact_mb
sentence_10_overlap_5,bm25,140,0.6785714285714286,0.8285714285714286,0.8785714285714286,0.9327380952380953,0.9071428571428571,0.7464285714285714,0.770049609638119,2.2928571428571427,0.7071428571428572,0.7142857142857143,0.3977805769643569,778.9375,0.010394213357141422,0.009626112500029649,2684,8.657706260681152
sentence_10_overlap_5,dense,140,0.8428571428571429,0.9285714285714286,0.9571428571428572,0.9928571428571429,0.9857142857142858,0.8797619047619047,0.8920151277294135,2.1357142857142857,0.8642857142857143,0.8785714285714286,0.43066308446838025,775.7107142857143,0.014020322742851477,0.012479482499998085,2684,8.657706260681152
sentence_10_overlap_5,hybrid_rrf,140,0.7857142857142857,0.9285714285714286,0.9571428571428572,0.9839285714285714,0.9714285714285714,0.8511904761904763,0.8625755559140652,2.192857142857143,0.8071428571428572,0.8285714285714286,0.42496736634458887,784.8589285714286,0.025434180414282536,0.022934211000006144,2684,8.657706260681152
sentence_15_no_overlap,bm25,140,0.6714285714285714,0.8642857142857143,0.9285714285714286,0.9613095238095238,0.9428571428571428,0.7559523809523809,0.7763632760796626,2.9285714285714284,0.07142857142857142,0.04285714285714286,0.2898686801717384,1119.4892857142856,0.00509908422857198,0.004685299500010842,1212,4.622442245483398
sentence_15_no_overlap,dense,140,0.8214285714285714,0.9214285714285714,0.9571428571428572,1.0,1.0,0.8690476190476191,0.8830640589569161,2.857142857142857,0.14285714285714285,0.07857142857142857,0.30799939009053967,1061.455357142857,0.014540976192860253,0.012698671500004366,1212,4.622442245483398
sentence_15_no_overlap,hybrid_rrf,140,0.7928571428571428,0.9357142857142857,0.9714285714285714,1.0,1.0,0.8583333333333334,0.8706335034013606,2.8642857142857143,0.1357142857142857,0.05,0.3054377886557536,1120.9017857142858,0.02004853896428561,0.017770335999955478,1212,4.622442245483398
sentence_6_overlap_3,bm25,140,0.6642857142857143,0.8142857142857143,0.8642857142857143,0.9470238095238096,0.9214285714285714,0.7297619047619048,0.7534469696969697,2.15,0.85,0.8285714285714286,0.4025809017580684,516.3142857142857,0.015212741785710802,0.01440903099995694,4192,11.522015571594238
sentence_6_overlap_3,dense,140,0.8642857142857143,0.95,0.9714285714285714,0.9857142857142858,0.9785714285714285,0.9023809523809524,0.9098013659340363,2.0285714285714285,0.9714285714285714,0.9214285714285714,0.41700162784563705,521.9357142857143,0.014684145507140199,0.0123767345000374,4192,11.522015571594238
sentence_6_overlap_3,hybrid_rrf,140,0.8142857142857143,0.9428571428571428,0.9714285714285714,0.9803571428571428,0.9642857142857143,0.8714285714285714,0.8803854875283447,2.1214285714285714,0.8785714285714286,0.8357142857142857,0.4051129943415725,529.6678571428571,0.03051514801429757,0.027547061500001746,4192,11.522015571594238
sentence_8_overlap_4,bm25,140,0.7,0.8571428571428571,0.8785714285714286,0.930952380952381,0.9071428571428571,0.7702380952380952,0.7842617000686968,2.2357142857142858,0.7642857142857142,0.75,0.3932085405170788,666.1160714285714,0.011675462599997185,0.010999024999989615,3258,9.782933235168457
sentence_8_overlap_4,dense,140,0.8428571428571429,0.9428571428571428,0.9714285714285714,0.9785714285714285,0.9714285714285714,0.8857142857142857,0.8943308477237049,2.1357142857142857,0.8642857142857143,0.8,0.4146697508673266,664.3071428571428,0.013493632021427565,0.012326313999949434,3258,9.782933235168457
sentence_8_overlap_4,hybrid_rrf,140,0.8428571428571429,0.9285714285714286,0.9714285714285714,0.9839285714285714,0.9714285714285714,0.8797619047619047,0.892734693877551,2.192857142857143,0.8071428571428572,0.7785714285714286,0.40125226944913067,669.1375,0.026524930871430895,0.024675977000015337,3258,9.782933235168457
word_180_overlap_40,bm25,140,0.7,0.8642857142857143,0.9214285714285714,0.9613095238095238,0.9357142857142857,0.7761904761904762,0.796187558356676,2.6785714285714284,0.32142857142857145,0.20714285714285716,0.3013672817376777,767.9339285714286,0.0069076375714238174,0.006456273499907184,1800,6.098518371582031
word_180_overlap_40,dense,140,0.7857142857142857,0.95,0.9642857142857143,1.0,1.0,0.861904761904762,0.8681225384890798,2.4714285714285715,0.5285714285714286,0.35714285714285715,0.3321107617252268,752.5964285714285,0.01441562191428472,0.012657601000000795,1800,6.098518371582031
word_180_overlap_40,hybrid_rrf,140,0.8214285714285714,0.95,0.9642857142857143,0.9982142857142857,0.9928571428571429,0.8809523809523809,0.8886989795918367,2.4785714285714286,0.5214285714285715,0.2857142857142857,0.3237563480442466,779.5375,0.022079980221427115,0.020482528499996988,1800,6.098518371582031
word_280_overlap_60,bm25,140,0.7,0.8642857142857143,0.9214285714285714,0.9636904761904761,0.9428571428571428,0.7702380952380952,0.7893058132343848,2.8214285714285716,0.17857142857142858,0.14285714285714285,0.3044023081993627,1105.0107142857144,0.005670742799999776,0.005434128000047167,1309,5.116626739501953
word_280_overlap_60,dense,140,0.7785714285714286,0.9142857142857143,0.9571428571428572,1.0,1.0,0.8392857142857143,0.8552267573696145,2.7214285714285715,0.2785714285714286,0.3357142857142857,0.33875290381581225,1051.1517857142858,0.014417487714290798,0.013032701500037547,1309,5.116626739501953
word_280_overlap_60,hybrid_rrf,140,0.7785714285714286,0.9428571428571428,0.9785714285714285,0.9946428571428572,0.9857142857142858,0.8488095238095238,0.859103872318158,2.742857142857143,0.2571428571428571,0.25,0.3298501003452761,1091.3107142857143,0.020482880207147707,0.018732807500100535,1309,5.116626739501953
