strategy,num_chunks,avg_chunk_tokens,page_hit_at_3,mrr,avg_top_score
sentence_6_overlap_3,4192,137.9799021946565,0.95,0.9023809523809524,0.8142364757401602
word_180_overlap_40,1800,221.42888888888888,0.95,0.861904761904762,0.7962396898439952
sentence_8_overlap_4,3258,171.10589318600367,0.9428571428571428,0.8857142857142857,0.8086231142282486
sentence_10_overlap_5,2684,200.04508196721312,0.9285714285714286,0.8797619047619047,0.8034808056695121
sentence_15_no_overlap,1212,276.644595709571,0.9214285714285714,0.8690476190476191,0.7905194427285875
word_280_overlap_60,1309,289.3857906799083,0.9142857142857143,0.8392857142857143,0.7919770040682383
